符合要求的点：行数=403, x=407809180092, y=-739810265391, 中心：x=407798762450,-739805604850, 当前找到=1
符合要求的点：行数=1154, x=407808826413, y=-739815795422, 中心：x=407798762450,-739805604850, 当前找到=2
符合要求的点：行数=1155, x=407809616220, y=-739813511527, 中心：x=407798762450,-739805604850, 当前找到=3
符合要求的点：行数=1156, x=407808196801, y=-739811262488, 中心：x=407798762450,-739805604850, 当前找到=4
符合要求的点：行数=1157, x=407793166446, y=-739812720604, 中心：x=407798762450,-739805604850, 当前找到=5
符合要求的点：行数=6709, x=407799889937, y=-739804422855, 中心：x=407798762450,-739805604850, 当前找到=6
符合要求的点：行数=8378, x=407808420213, y=-739815688133, 中心：x=407798762450,-739805604850, 当前找到=7
符合要求的点：行数=35389, x=407799889937, y=-739804422855, 中心：x=407798762450,-739805604850, 当前找到=8
符合要求的点：行数=57241, x=407808826413, y=-739815795422, 中心：x=407798762450,-739805604850, 当前找到=9
符合要求的点：行数=64876, x=407800864832, y=-739807212353, 中心：x=407798762450,-739805604850, 当前找到=10
符合要求的点：行数=90648, x=407808826413, y=-739815795422, 中心：x=407798762450,-739805604850, 当前找到=11
符合要求的点：行数=90657, x=407808826413, y=-739815795422, 中心：x=407798762450,-739805604850, 当前找到=12
符合要求的点：行数=97946, x=407805553011, y=-739802221347, 中心：x=407798762450,-739805604850, 当前找到=13
符合要求的点：行数=113315, x=407803981977, y=-739811219849, 中心：x=407798762450,-739805604850, 当前找到=14
符合要求的点：行数=113316, x=407793166446, y=-739812720604, 中心：x=407798762450,-739805604850, 当前找到=15
符合要求的点：行数=113317, x=407805553011, y=-739802221347, 中心：x=407798762450,-739805604850, 当前找到=16
符合要求的点：行数=113318, x=407805258036, y=-739802652597, 中心：x=407798762450,-739805604850, 当前找到=17
符合要求的点：行数=113319, x=407805116892, y=-739805931783, 中心：x=407798762450,-739805604850, 当前找到=18
符合要求的点：行数=113320, x=407804948361, y=-739804192142, 中心：x=407798762450,-739805604850, 当前找到=19
符合要求的点：行数=113321, x=407799889937, y=-739804422855, 中心：x=407798762450,-739805604850, 当前找到=20
符合要求的点：行数=113322, x=407798686849, y=-739808974029, 中心：x=407798762450,-739805604850, 当前找到=21
符合要求的点：行数=113323, x=407800864832, y=-739807212353, 中心：x=407798762450,-739805604850, 当前找到=22
符合要求的点：行数=113324, x=407796867601, y=-739800759535, 中心：x=407798762450,-739805604850, 当前找到=23
符合要求的点：行数=132695, x=407789044144, y=-739812308550, 中心：x=407798762450,-739805604850, 当前找到=24
符合要求的点：行数=140991, x=407800598780, y=-739804684770, 中心：x=407798762450,-739805604850, 当前找到=25
符合要求的点：行数=141152, x=407785185111, y=-739819335937, 中心：x=407798762450,-739805604850, 当前找到=26
符合要求的点：行数=174312, x=407809616220, y=-739813511527, 中心：x=407798762450,-739805604850, 当前找到=27
符合要求的点：行数=174405, x=407808826413, y=-739815795422, 中心：x=407798762450,-739805604850, 当前找到=28
