符合要求的点：行数=403, x=407809180092, y=-739810265391, 中心：x=407809062132,-739809038077, 当前找到=1
符合要求的点：行数=1156, x=407808196801, y=-739811262488, 中心：x=407809062132,-739809038077, 当前找到=2
符合要求的点：行数=217874, x=407805936049, y=-739806330095, 中心：x=407809062132,-739809038077, 当前找到=3
符合要求的点：行数=234914, x=407808196801, y=-739811262488, 中心：x=407809062132,-739809038077, 当前找到=4
符合要求的点：行数=252498, x=407808196801, y=-739811262488, 中心：x=407809062132,-739809038077, 当前找到=5
符合要求的点：行数=330914, x=407805936049, y=-739806330095, 中心：x=407809062132,-739809038077, 当前找到=6
符合要求的点：行数=466911, x=407809180092, y=-739810265391, 中心：x=407809062132,-739809038077, 当前找到=7
符合要求的点：行数=466912, x=407809180092, y=-739810265391, 中心：x=407809062132,-739809038077, 当前找到=8
符合要求的点：行数=588876, x=407808196801, y=-739811262488, 中心：x=407809062132,-739809038077, 当前找到=9
符合要求的点：行数=588879, x=407808196801, y=-739811262488, 中心：x=407809062132,-739809038077, 当前找到=10
符合要求的点：行数=597917, x=407808196801, y=-739811262488, 中心：x=407809062132,-739809038077, 当前找到=11
符合要求的点：行数=600004, x=407809180092, y=-739810265391, 中心：x=407809062132,-739809038077, 当前找到=12
符合要求的点：行数=707015, x=407808196801, y=-739811262488, 中心：x=407809062132,-739809038077, 当前找到=13
符合要求的点：行数=715646, x=407808196801, y=-739811262488, 中心：x=407809062132,-739809038077, 当前找到=14
符合要求的点：行数=941792, x=407805936049, y=-739806330095, 中心：x=407809062132,-739809038077, 当前找到=15
符合要求的点：行数=941829, x=407805936049, y=-739806330095, 中心：x=407809062132,-739809038077, 当前找到=16
符合要求的点：行数=941841, x=407805936049, y=-739806330095, 中心：x=407809062132,-739809038077, 当前找到=17
符合要求的点：行数=1017832, x=407809180092, y=-739810265391, 中心：x=407809062132,-739809038077, 当前找到=18
