符合要求的点：行数=403, x=407809180092, y=-739810265391, 中心：x=407805628905,-739812471305, 当前找到=1
符合要求的点：行数=1154, x=407808826413, y=-739815795422, 中心：x=407805628905,-739812471305, 当前找到=2
符合要求的点：行数=1155, x=407809616220, y=-739813511527, 中心：x=407805628905,-739812471305, 当前找到=3
符合要求的点：行数=1156, x=407808196801, y=-739811262488, 中心：x=407805628905,-739812471305, 当前找到=4
符合要求的点：行数=8378, x=407808420213, y=-739815688133, 中心：x=407805628905,-739812471305, 当前找到=5
符合要求的点：行数=57241, x=407808826413, y=-739815795422, 中心：x=407805628905,-739812471305, 当前找到=6
符合要求的点：行数=64876, x=407800864832, y=-739807212353, 中心：x=407805628905,-739812471305, 当前找到=7
符合要求的点：行数=90648, x=407808826413, y=-739815795422, 中心：x=407805628905,-739812471305, 当前找到=8
符合要求的点：行数=90657, x=407808826413, y=-739815795422, 中心：x=407805628905,-739812471305, 当前找到=9
符合要求的点：行数=113315, x=407803981977, y=-739811219849, 中心：x=407805628905,-739812471305, 当前找到=10
符合要求的点：行数=113319, x=407805116892, y=-739805931783, 中心：x=407805628905,-739812471305, 当前找到=11
符合要求的点：行数=113323, x=407800864832, y=-739807212353, 中心：x=407805628905,-739812471305, 当前找到=12
符合要求的点：行数=174312, x=407809616220, y=-739813511527, 中心：x=407805628905,-739812471305, 当前找到=13
符合要求的点：行数=174405, x=407808826413, y=-739815795422, 中心：x=407805628905,-739812471305, 当前找到=14
符合要求的点：行数=174628, x=407808826413, y=-739815795422, 中心：x=407805628905,-739812471305, 当前找到=15
符合要求的点：行数=174659, x=407808826413, y=-739815795422, 中心：x=407805628905,-739812471305, 当前找到=16
符合要求的点：行数=174702, x=407808826413, y=-739815795422, 中心：x=407805628905,-739812471305, 当前找到=17
符合要求的点：行数=175230, x=407808826413, y=-739815795422, 中心：x=407805628905,-739812471305, 当前找到=18
符合要求的点：行数=175231, x=407809616220, y=-739813511527, 中心：x=407805628905,-739812471305, 当前找到=19
符合要求的点：行数=175232, x=407808826413, y=-739815795422, 中心：x=407805628905,-739812471305, 当前找到=20
符合要求的点：行数=175263, x=407808826413, y=-739815795422, 中心：x=407805628905,-739812471305, 当前找到=21
符合要求的点：行数=203350, x=407808826413, y=-739815795422, 中心：x=407805628905,-739812471305, 当前找到=22
符合要求的点：行数=217874, x=407805936049, y=-739806330095, 中心：x=407805628905,-739812471305, 当前找到=23
符合要求的点：行数=227288, x=407802245929, y=-739819014072, 中心：x=407805628905,-739812471305, 当前找到=24
符合要求的点：行数=234914, x=407808196801, y=-739811262488, 中心：x=407805628905,-739812471305, 当前找到=25
符合要求的点：行数=234922, x=407808826413, y=-739815795422, 中心：x=407805628905,-739812471305, 当前找到=26
符合要求的点：行数=252279, x=407808420213, y=-739815688133, 中心：x=407805628905,-739812471305, 当前找到=27
符合要求的点：行数=252379, x=407809616220, y=-739813511527, 中心：x=407805628905,-739812471305, 当前找到=28
符合要求的点：行数=252380, x=407808420213, y=-739815688133, 中心：x=407805628905,-739812471305, 当前找到=29
符合要求的点：行数=252497, x=407808826413, y=-739815795422, 中心：x=407805628905,-739812471305, 当前找到=30
符合要求的点：行数=252498, x=407808196801, y=-739811262488, 中心：x=407805628905,-739812471305, 当前找到=31
符合要求的点：行数=252499, x=407808826413, y=-739815795422, 中心：x=407805628905,-739812471305, 当前找到=32
符合要求的点：行数=252709, x=407808420213, y=-739815688133, 中心：x=407805628905,-739812471305, 当前找到=33
符合要求的点：行数=252710, x=407808826413, y=-739815795422, 中心：x=407805628905,-739812471305, 当前找到=34
符合要求的点：行数=252711, x=407803464542, y=-739814186096, 中心：x=407805628905,-739812471305, 当前找到=35
符合要求的点：行数=270450, x=407800864832, y=-739807212353, 中心：x=407805628905,-739812471305, 当前找到=36
符合要求的点：行数=330914, x=407805936049, y=-739806330095, 中心：x=407805628905,-739812471305, 当前找到=37
符合要求的点：行数=342698, x=407803981977, y=-739811219849, 中心：x=407805628905,-739812471305, 当前找到=38
符合要求的点：行数=383578, x=407808826413, y=-739815795422, 中心：x=407805628905,-739812471305, 当前找到=39
符合要求的点：行数=423569, x=407808826413, y=-739815795422, 中心：x=407805628905,-739812471305, 当前找到=40
符合要求的点：行数=423570, x=407809616220, y=-739813511527, 中心：x=407805628905,-739812471305, 当前找到=41
符合要求的点：行数=452601, x=407808826413, y=-739815795422, 中心：x=407805628905,-739812471305, 当前找到=42
符合要求的点：行数=466870, x=407809616220, y=-739813511527, 中心：x=407805628905,-739812471305, 当前找到=43
符合要求的点：行数=466885, x=407809616220, y=-739813511527, 中心：x=407805628905,-739812471305, 当前找到=44
符合要求的点：行数=466911, x=407809180092, y=-739810265391, 中心：x=407805628905,-739812471305, 当前找到=45
符合要求的点：行数=466912, x=407809180092, y=-739810265391, 中心：x=407805628905,-739812471305, 当前找到=46
符合要求的点：行数=466913, x=407800864832, y=-739807212353, 中心：x=407805628905,-739812471305, 当前找到=47
符合要求的点：行数=466923, x=407800864832, y=-739807212353, 中心：x=407805628905,-739812471305, 当前找到=48
符合要求的点：行数=479746, x=407803464542, y=-739814186096, 中心：x=407805628905,-739812471305, 当前找到=49
符合要求的点：行数=524203, x=407805116892, y=-739805931783, 中心：x=407805628905,-739812471305, 当前找到=50
